exception_id,exception_type,Matnr,Werks,object_reference,detected_on,owner,status,detail
EXC-000142,OVERDUE_USE,000000000030000254,3000,Rsnum 1000000634,2026-08-28,VZIINV01,CLOSED,Received on 2026-03-14 against a planned use date of 2026-05-01; no goods issue after 14 days grace.
EXC-000143,OVERDUE_USE,000000000030000256,3000,Rsnum 1000000636,2026-09-04,VZIINV02,CLOSED,Received on 2026-04-15 against a planned use date of 2026-05-30; no goods issue after 14 days grace.
EXC-000144,OVERDUE_USE,000000000030000261,2000,Rsnum 1000000648,2026-08-30,VZIINV01,CLOSED,Received on 2026-01-04 against a planned use date of 2026-07-03; no goods issue after 14 days grace.
EXC-000145,NO_CONSUMPTION_PLAN,000000000030000263,4000,Rsnum 1000000652,2026-09-04,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000146,NO_CONSUMPTION_PLAN,000000000030000266,1000,Rsnum 1000000658,2026-08-29,VZIINV02,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000147,OVERDUE_USE,000000000030000268,3000,Rsnum 1000000661,2026-08-29,VZIINV02,OPEN,Received on 2025-12-16 against a planned use date of 2026-07-24; no goods issue after 14 days grace.
EXC-000148,OVERDUE_USE,000000000030000268,3000,Rsnum 1000000663,2026-08-28,VZIINV02,AWAITING_REQUESTER,Received on 2026-01-01 against a planned use date of 2026-05-13; no goods issue after 14 days grace.
EXC-000149,OVERDUE_USE,000000000030000268,1000,Rsnum 1000000664,2026-08-30,VZIINV01,AWAITING_REQUESTER,Received on 2026-07-01 against a planned use date of 2026-07-05; no goods issue after 14 days grace.
EXC-000150,OVERDUE_USE,000000000030000269,3000,Rsnum 1000000667,2026-08-30,VZIINV01,OPEN,Received on 2025-12-15 against a planned use date of 2026-07-07; no goods issue after 14 days grace.
EXC-000151,OVERDUE_USE,000000000030000272,1000,Rsnum 1000000672,2026-09-04,VZIINV01,AWAITING_REQUESTER,Received on 2026-07-13 against a planned use date of 2026-07-06; no goods issue after 14 days grace.
EXC-000152,NO_CONSUMPTION_PLAN,000000000030000277,3000,Rsnum 1000000680,2026-09-01,VZIINV02,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000153,OVERDUE_USE,000000000030000280,2000,Rsnum 1000000683,2026-09-03,VZIINV02,OPEN,Received on 2026-06-19 against a planned use date of 2026-05-02; no goods issue after 14 days grace.
EXC-000154,OVERDUE_USE,000000000030000280,2000,Rsnum 1000000684,2026-09-03,VZIINV01,OPEN,Received on 2026-06-29 against a planned use date of 2026-05-10; no goods issue after 14 days grace.
EXC-000155,OVERDUE_USE,000000000030000282,1000,Rsnum 1000000687,2026-09-01,VZIINV02,AWAITING_REQUESTER,Received on 2026-01-06 against a planned use date of 2026-06-16; no goods issue after 14 days grace.
EXC-000156,OVERDUE_USE,000000000030000282,1000,Rsnum 1000000688,2026-09-07,VZIINV01,CLOSED,Received on 2026-04-13 against a planned use date of 2026-08-13; no goods issue after 14 days grace.
EXC-000157,NO_CONSUMPTION_PLAN,000000000030000283,1000,Rsnum 1000000694,2026-09-02,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000158,OVERDUE_USE,000000000030000284,2000,Rsnum 1000000698,2026-09-02,VZIINV02,OPEN,Received on 2026-03-12 against a planned use date of 2026-05-29; no goods issue after 14 days grace.
EXC-000159,NO_CONSUMPTION_PLAN,000000000030000286,1000,Rsnum 1000000701,2026-09-02,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000160,OVERDUE_USE,000000000030000291,4000,Rsnum 1000000713,2026-08-29,VZIINV02,OPEN,Received on 2026-03-04 against a planned use date of 2026-07-17; no goods issue after 14 days grace.
EXC-000161,NO_CONSUMPTION_PLAN,000000000030000293,2000,Rsnum 1000000719,2026-09-06,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000162,NO_CONSUMPTION_PLAN,000000000030000293,2000,Rsnum 1000000721,2026-09-05,VZIINV02,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000163,OVERDUE_USE,000000000030000294,2000,Rsnum 1000000726,2026-09-07,VZIINV01,AWAITING_REQUESTER,Received on 2026-02-24 against a planned use date of 2026-07-13; no goods issue after 14 days grace.
EXC-000164,OVERDUE_USE,000000000030000294,2000,Rsnum 1000000727,2026-08-30,VZIINV01,CLOSED,Received on 2026-01-15 against a planned use date of 2026-07-14; no goods issue after 14 days grace.
EXC-000165,NO_CONSUMPTION_PLAN,000000000030000294,1000,Rsnum 1000000728,2026-08-30,VZIINV02,AWAITING_REQUESTER,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000166,OVERDUE_USE,000000000030000294,1000,Rsnum 1000000729,2026-08-29,VZIINV01,OPEN,Received on 2026-03-22 against a planned use date of 2026-06-01; no goods issue after 14 days grace.
EXC-000167,OVERDUE_USE,000000000030000295,3000,Rsnum 1000000731,2026-09-04,VZIINV02,OPEN,Received on 2026-03-26 against a planned use date of 2026-06-24; no goods issue after 14 days grace.
EXC-000168,OVERDUE_USE,000000000030000297,3000,Rsnum 1000000734,2026-09-01,VZIINV02,OPEN,Received on 2026-01-30 against a planned use date of 2026-05-20; no goods issue after 14 days grace.
EXC-000169,OVERDUE_USE,000000000030000297,3000,Rsnum 1000000735,2026-09-01,VZIINV01,OPEN,Received on 2026-03-06 against a planned use date of 2026-05-16; no goods issue after 14 days grace.
EXC-000170,OVERDUE_USE,000000000030000299,2000,Rsnum 1000000737,2026-08-28,VZIINV01,OPEN,Received on 2026-08-14 against a planned use date of 2026-06-05; no goods issue after 14 days grace.
EXC-000171,OVERDUE_USE,000000000030000299,2000,Rsnum 1000000739,2026-09-02,VZIINV02,AWAITING_REQUESTER,Received on 2026-04-06 against a planned use date of 2026-06-17; no goods issue after 14 days grace.
EXC-000172,NO_CONSUMPTION_PLAN,000000000030000302,1000,Rsnum 1000000745,2026-08-30,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000173,OVERDUE_USE,000000000030000304,2000,Rsnum 1000000752,2026-09-01,VZIINV02,OPEN,Received on 2026-06-12 against a planned use date of 2026-07-04; no goods issue after 14 days grace.
EXC-000174,OVERDUE_USE,000000000030000305,3000,Rsnum 1000000753,2026-08-30,VZIINV02,OPEN,Received on 2026-08-25 against a planned use date of 2026-06-15; no goods issue after 14 days grace.
EXC-000175,OVERDUE_USE,000000000030000305,3000,Rsnum 1000000754,2026-08-30,VZIINV01,OPEN,Received on 2025-12-04 against a planned use date of 2026-06-29; no goods issue after 14 days grace.
EXC-000176,NO_CONSUMPTION_PLAN,000000000030000306,2000,Rsnum 1000000756,2026-09-04,VZIINV02,CLOSED,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000177,NO_CONSUMPTION_PLAN,000000000030000312,3000,Rsnum 1000000772,2026-09-03,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000178,OVERDUE_USE,000000000030000313,1000,Rsnum 1000000775,2026-09-07,VZIINV02,OPEN,Received on 2025-12-05 against a planned use date of 2026-07-10; no goods issue after 14 days grace.
EXC-000179,OVERDUE_REPAIR,000000000080000002,3000,PO 4500008488/00010,2026-08-29,VZIINV02,OPEN,"Promised back on 2026-06-11, which is 88 days ago, beyond the 7-day grace period."
EXC-000180,MISSING_ATTESTATION,000000000080000003,4000,PO 4500008489/00010,2026-09-02,VZIINV02,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000181,OVERDUE_REPAIR,000000000080000004,2000,PO 4500008490/00010,2026-08-28,VZIINV02,OPEN,"Promised back on 2026-06-29, which is 70 days ago, beyond the 7-day grace period."
EXC-000182,OVERDUE_REPAIR,000000000080000006,2000,PO 4500008493/00010,2026-09-04,VZIINV01,OPEN,"Promised back on 2026-08-25, which is 13 days ago, beyond the 7-day grace period."
EXC-000183,MISSING_ATTESTATION,000000000080000012,3000,PO 4500008499/00010,2026-09-02,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000184,MISSING_ATTESTATION,000000000080000015,3000,PO 4500008501/00010,2026-09-02,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000185,MISSING_ATTESTATION,000000000080000017,2000,PO 4500008504/00010,2026-09-07,VZIINV02,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000186,OVERDUE_REPAIR,000000000080000018,3000,PO 4500008507/00010,2026-09-05,VZIINV02,OPEN,"Promised back on 2026-08-19, which is 19 days ago, beyond the 7-day grace period."
EXC-000187,OVERDUE_REPAIR,000000000080000021,2000,PO 4500008511/00010,2026-08-31,VZIINV02,OPEN,"Promised back on 2026-06-17, which is 82 days ago, beyond the 7-day grace period."
EXC-000188,MISSING_ATTESTATION,000000000080000021,2000,PO 4500008511/00010,2026-08-28,VZIINV01,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000189,MISSING_ATTESTATION,000000000080000021,3000,PO 4500008512/00010,2026-09-06,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000190,MISSING_ATTESTATION,000000000080000023,3000,PO 4500008514/00010,2026-09-02,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000191,MISSING_ATTESTATION,000000000080000024,2000,PO 4500008515/00010,2026-09-05,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000192,MISSING_ATTESTATION,000000000080000025,3000,PO 4500008516/00010,2026-08-30,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000193,MISSING_ATTESTATION,000000000080000025,4000,PO 4500008517/00010,2026-08-28,VZIINV01,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000194,MISSING_ATTESTATION,000000000080000029,4000,PO 4500008520/00010,2026-08-30,VZIINV02,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000195,OVERDUE_REPAIR,000000000080000033,4000,PO 4500008524/00010,2026-08-31,VZIINV02,OPEN,"Promised back on 2026-08-10, which is 28 days ago, beyond the 7-day grace period."
EXC-000196,OVERDUE_REPAIR,000000000080000034,1000,PO 4500008525/00010,2026-08-28,VZIINV02,AWAITING_REQUESTER,"Promised back on 2026-07-29, which is 40 days ago, beyond the 7-day grace period."
EXC-000197,MISSING_ATTESTATION,000000000080000034,1000,PO 4500008525/00010,2026-09-04,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000198,OVERDUE_REPAIR,000000000080000037,2000,PO 4500008529/00010,2026-09-02,VZIINV02,CLOSED,"Promised back on 2026-08-18, which is 20 days ago, beyond the 7-day grace period."
EXC-000199,OVERDUE_REPAIR,000000000080000037,1000,PO 4500008530/00010,2026-08-30,VZIINV02,CLOSED,"Promised back on 2026-08-01, which is 37 days ago, beyond the 7-day grace period."
EXC-000200,MISSING_ATTESTATION,000000000080000037,1000,PO 4500008530/00010,2026-09-07,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000201,OVERDUE_REPAIR,000000000080000040,1000,PO 4500008534/00010,2026-08-29,VZIINV01,CLOSED,"Promised back on 2026-07-03, which is 66 days ago, beyond the 7-day grace period."
EXC-000202,OVERDUE_REPAIR,000000000080000041,1000,PO 4500008535/00010,2026-08-30,VZIINV02,OPEN,"Promised back on 2026-07-03, which is 66 days ago, beyond the 7-day grace period."
EXC-000203,MISSING_ATTESTATION,000000000080000042,1000,PO 4500008537/00010,2026-09-01,VZIINV01,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000204,OVERDUE_REPAIR,000000000080000049,4000,PO 4500008544/00010,2026-09-01,VZIINV02,OPEN,"Promised back on 2026-06-28, which is 71 days ago, beyond the 7-day grace period."
EXC-000205,MISSING_ATTESTATION,000000000080000056,3000,PO 4500008552/00010,2026-08-31,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000206,OVERDUE_REPAIR,000000000080000059,4000,PO 4500008555/00010,2026-09-06,VZIINV02,CLOSED,"Promised back on 2026-06-22, which is 77 days ago, beyond the 7-day grace period."
EXC-000207,MISSING_ATTESTATION,000000000080000061,2000,PO 4500008558/00010,2026-08-28,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000208,OVERDUE_REPAIR,000000000080000066,1000,PO 4500008565/00010,2026-08-29,VZIINV01,OPEN,"Promised back on 2026-07-22, which is 47 days ago, beyond the 7-day grace period."
EXC-000209,OVERDUE_REPAIR,000000000080000067,4000,PO 4500008566/00010,2026-09-05,VZIINV02,OPEN,"Promised back on 2026-06-07, which is 92 days ago, beyond the 7-day grace period."
EXC-000210,OVERDUE_REPAIR,000000000080000070,2000,PO 4500008571/00010,2026-09-01,VZIINV01,OPEN,"Promised back on 2026-06-30, which is 69 days ago, beyond the 7-day grace period."
EXC-000211,MISSING_ATTESTATION,000000000080000072,1000,PO 4500008574/00010,2026-08-28,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000212,OVERDUE_REPAIR,000000000080000075,4000,PO 4500008577/00010,2026-09-07,VZIINV02,AWAITING_REQUESTER,"Promised back on 2026-08-01, which is 37 days ago, beyond the 7-day grace period."
EXC-000213,OVERDUE_REPAIR,000000000080000079,2000,PO 4500008580/00010,2026-08-31,VZIINV01,OPEN,"Promised back on 2026-06-02, which is 97 days ago, beyond the 7-day grace period."
EXC-000214,MISSING_ATTESTATION,000000000080000079,4000,PO 4500008581/00010,2026-09-04,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000215,OVERDUE_REPAIR,000000000080000080,4000,PO 4500008582/00010,2026-09-06,VZIINV01,AWAITING_REQUESTER,"Promised back on 2026-08-08, which is 30 days ago, beyond the 7-day grace period."
EXC-000216,OVERDUE_REPAIR,000000000080000081,3000,PO 4500008584/00010,2026-08-29,VZIINV02,OPEN,"Promised back on 2026-07-26, which is 43 days ago, beyond the 7-day grace period."
EXC-000217,MISSING_ATTESTATION,000000000080000095,4000,PO 4500008599/00010,2026-09-02,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000218,MISSING_ATTESTATION,000000000080000097,4000,PO 4500008603/00010,2026-09-04,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000219,MISSING_ATTESTATION,000000000080000098,1000,PO 4500008604/00010,2026-09-02,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000220,MISSING_ATTESTATION,000000000080000102,1000,PO 4500008609/00010,2026-09-07,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000221,OVERDUE_REPAIR,000000000080000104,3000,PO 4500008611/00010,2026-09-05,VZIINV01,OPEN,"Promised back on 2026-06-24, which is 75 days ago, beyond the 7-day grace period."
EXC-000222,OVERDUE_REPAIR,000000000080000109,3000,PO 4500008617/00010,2026-09-05,VZIINV02,OPEN,"Promised back on 2026-07-10, which is 59 days ago, beyond the 7-day grace period."
EXC-000223,OVERDUE_REPAIR,000000000080000111,1000,PO 4500008619/00010,2026-09-03,VZIINV01,OPEN,"Promised back on 2026-06-23, which is 76 days ago, beyond the 7-day grace period."
EXC-000224,OVERDUE_REPAIR,000000000080000122,2000,PO 4500008630/00010,2026-09-03,VZIINV01,OPEN,"Promised back on 2026-07-30, which is 39 days ago, beyond the 7-day grace period."
EXC-000225,MISSING_ATTESTATION,000000000080000122,2000,PO 4500008630/00010,2026-09-01,VZIINV01,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000226,MISSING_ATTESTATION,000000000080000125,2000,PO 4500008634/00010,2026-09-06,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000227,MISSING_ATTESTATION,000000000080000128,2000,PO 4500008636/00010,2026-08-29,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000228,MISSING_ATTESTATION,000000000080000135,4000,PO 4500008645/00010,2026-09-01,VZIINV01,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000229,MISSING_ATTESTATION,000000000080000136,1000,PO 4500008646/00010,2026-08-31,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000230,OVERDUE_REPAIR,000000000080000138,1000,PO 4500008649/00010,2026-09-03,VZIINV02,CLOSED,"Promised back on 2026-06-20, which is 79 days ago, beyond the 7-day grace period."
EXC-000231,MISSING_ATTESTATION,000000000080000138,1000,PO 4500008649/00010,2026-09-01,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000232,OVERDUE_REPAIR,000000000080000141,1000,PO 4500008652/00010,2026-09-03,VZIINV02,CLOSED,"Promised back on 2026-06-19, which is 80 days ago, beyond the 7-day grace period."
EXC-000233,OVERDUE_REPAIR,000000000080000147,2000,PO 4500008659/00010,2026-09-03,VZIINV02,OPEN,"Promised back on 2026-08-21, which is 17 days ago, beyond the 7-day grace period."
EXC-000234,MISSING_ATTESTATION,000000000080000154,4000,PO 4500008667/00010,2026-09-07,VZIINV01,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000235,OVERDUE_REPAIR,000000000080000157,4000,PO 4500008671/00010,2026-09-02,VZIINV01,OPEN,"Promised back on 2026-06-18, which is 81 days ago, beyond the 7-day grace period."
EXC-000236,OVERDUE_REPAIR,000000000080000158,1000,PO 4500008673/00010,2026-09-03,VZIINV02,AWAITING_REQUESTER,"Promised back on 2026-08-03, which is 35 days ago, beyond the 7-day grace period."
EXC-000237,OVERDUE_REPAIR,000000000080000159,3000,PO 4500008675/00010,2026-08-28,VZIINV02,OPEN,"Promised back on 2026-06-18, which is 81 days ago, beyond the 7-day grace period."
EXC-000238,OVERDUE_REPAIR,000000000080000166,1000,PO 4500008683/00010,2026-09-07,VZIINV01,OPEN,"Promised back on 2026-06-21, which is 78 days ago, beyond the 7-day grace period."
EXC-000239,MISSING_ATTESTATION,000000000080000166,1000,PO 4500008683/00010,2026-09-06,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000240,OVERDUE_REPAIR,000000000080000167,2000,PO 4500008684/00010,2026-09-03,VZIINV02,OPEN,"Promised back on 2026-07-26, which is 43 days ago, beyond the 7-day grace period."
EXC-000241,OVERDUE_REPAIR,000000000080000168,2000,PO 4500008685/00010,2026-09-05,VZIINV01,OPEN,"Promised back on 2026-07-31, which is 38 days ago, beyond the 7-day grace period."
EXC-000242,OVERDUE_REPAIR,000000000080000169,1000,PO 4500008686/00010,2026-09-07,VZIINV01,OPEN,"Promised back on 2026-06-17, which is 82 days ago, beyond the 7-day grace period."
EXC-000243,MISSING_ATTESTATION,000000000080000170,2000,PO 4500008687/00010,2026-09-05,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000244,OVERDUE_REPAIR,000000000080000171,3000,PO 4500008689/00010,2026-09-01,VZIINV02,OPEN,"Promised back on 2026-07-19, which is 50 days ago, beyond the 7-day grace period."
EXC-000245,MISSING_ATTESTATION,000000000080000175,4000,PO 4500008695/00010,2026-08-31,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000246,OVERDUE_REPAIR,000000000080000176,3000,PO 4500008696/00010,2026-08-29,VZIINV02,CLOSED,"Promised back on 2026-06-02, which is 97 days ago, beyond the 7-day grace period."
EXC-000247,MISSING_ATTESTATION,000000000080000176,2000,PO 4500008697/00010,2026-09-04,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000248,MISSING_ATTESTATION,000000000080000177,2000,PO 4500008699/00010,2026-08-31,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000249,OVERDUE_REPAIR,000000000080000182,1000,PO 4500008705/00010,2026-08-31,VZIINV02,AWAITING_REQUESTER,"Promised back on 2026-06-27, which is 72 days ago, beyond the 7-day grace period."
EXC-000250,MISSING_ATTESTATION,000000000080000184,4000,PO 4500008707/00010,2026-08-31,VZIINV02,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000251,OVERDUE_REPAIR,000000000080000185,1000,PO 4500008708/00010,2026-09-03,VZIINV02,AWAITING_REQUESTER,"Promised back on 2026-08-10, which is 28 days ago, beyond the 7-day grace period."
EXC-000252,MISSING_ATTESTATION,000000000080000185,1000,PO 4500008708/00010,2026-08-30,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000253,MISSING_ATTESTATION,000000000080000186,3000,PO 4500008709/00010,2026-08-29,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000254,MISSING_ATTESTATION,000000000080000187,3000,PO 4500008710/00010,2026-08-30,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000255,OVERDUE_REPAIR,000000000080000189,2000,PO 4500008713/00010,2026-08-29,VZIINV02,OPEN,"Promised back on 2026-06-15, which is 84 days ago, beyond the 7-day grace period."
EXC-000256,MISSING_ATTESTATION,000000000080000189,2000,PO 4500008713/00010,2026-09-07,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000257,MISSING_ATTESTATION,000000000080000192,1000,PO 4500008716/00010,2026-09-02,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000258,MISSING_ATTESTATION,000000000080000193,1000,PO 4500008717/00010,2026-08-30,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000259,MISSING_ATTESTATION,000000000080000196,3000,PO 4500008721/00010,2026-08-31,VZIINV02,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
EXC-000260,MISSING_ATTESTATION,000000000080000196,2000,PO 4500008722/00010,2026-08-31,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000261,OVERDUE_REPAIR,000000000080000200,1000,PO 4500008726/00010,2026-09-05,VZIINV02,OPEN,"Promised back on 2026-08-27, which is 11 days ago, beyond the 7-day grace period."
EXC-000262,MISSING_ATTESTATION,000000000080000202,2000,PO 4500008728/00010,2026-09-01,VZIINV02,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000263,OVERDUE_REPAIR,000000000080000209,3000,PO 4500008736/00010,2026-08-31,VZIINV01,CLOSED,"Promised back on 2026-07-12, which is 57 days ago, beyond the 7-day grace period."
EXC-000264,OVERDUE_REPAIR,000000000080000214,1000,PO 4500008743/00010,2026-09-07,VZIINV01,OPEN,"Promised back on 2026-06-05, which is 94 days ago, beyond the 7-day grace period."
EXC-000265,OVERDUE_REPAIR,000000000080000218,1000,PO 4500008749/00010,2026-09-02,VZIINV01,AWAITING_REQUESTER,"Promised back on 2026-08-08, which is 30 days ago, beyond the 7-day grace period."
EXC-000266,OVERDUE_REPAIR,000000000080000219,2000,PO 4500008750/00010,2026-08-29,VZIINV01,OPEN,"Promised back on 2026-08-14, which is 24 days ago, beyond the 7-day grace period."
EXC-000267,OVERDUE_REPAIR,000000000080000220,2000,PO 4500008751/00010,2026-08-30,VZIINV01,OPEN,"Promised back on 2026-08-13, which is 25 days ago, beyond the 7-day grace period."
EXC-000268,OVERDUE_REPAIR,000000000080000223,1000,PO 4500008755/00010,2026-09-05,VZIINV02,OPEN,"Promised back on 2026-08-24, which is 14 days ago, beyond the 7-day grace period."
EXC-000269,MISSING_ATTESTATION,000000000080000227,3000,PO 4500008758/00010,2026-08-31,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000270,MISSING_ATTESTATION,000000000080000235,3000,PO 4500008768/00010,2026-08-28,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000271,OVERDUE_REPAIR,000000000080000239,2000,PO 4500008772/00010,2026-08-28,VZIINV01,OPEN,"Promised back on 2026-07-08, which is 61 days ago, beyond the 7-day grace period."
EXC-000272,MISSING_ATTESTATION,000000000080000241,1000,PO 4500008774/00010,2026-08-28,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000273,MISSING_ATTESTATION,000000000080000242,3000,PO 4500008776/00010,2026-09-07,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000274,OVERDUE_REPAIR,000000000080000246,4000,PO 4500008781/00010,2026-09-01,VZIINV02,CLOSED,"Promised back on 2026-07-05, which is 64 days ago, beyond the 7-day grace period."
EXC-000275,MISSING_ATTESTATION,000000000080000251,2000,PO 4500008787/00010,2026-08-28,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000276,MISSING_ATTESTATION,000000000080000252,1000,PO 4500008788/00010,2026-09-01,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000277,OVERDUE_REPAIR,000000000080000253,3000,PO 4500008789/00010,2026-09-04,VZIINV01,AWAITING_REQUESTER,"Promised back on 2026-07-10, which is 59 days ago, beyond the 7-day grace period."
EXC-000278,MISSING_ATTESTATION,000000000080000253,3000,PO 4500008789/00010,2026-09-03,VZIINV02,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000279,OVERDUE_REPAIR,000000000080000254,4000,PO 4500008790/00010,2026-09-07,VZIINV01,OPEN,"Promised back on 2026-06-24, which is 75 days ago, beyond the 7-day grace period."
EXC-000280,MISSING_ATTESTATION,000000000080000256,1000,PO 4500008792/00010,2026-09-03,VZIINV01,OPEN,Repair purchase order raised with no condition-to-repair attestation.
EXC-000281,OVERDUE_REPAIR,000000000080000259,1000,PO 4500008796/00010,2026-08-31,VZIINV01,AWAITING_REQUESTER,"Promised back on 2026-06-28, which is 71 days ago, beyond the 7-day grace period."
EXC-000282,MISSING_ATTESTATION,000000000080000260,4000,PO 4500008797/00010,2026-09-03,VZIINV01,AWAITING_REQUESTER,Repair purchase order raised with no condition-to-repair attestation.
EXC-000283,OVERDUE_REPAIR,000000000080000262,2000,PO 4500008799/00010,2026-09-06,VZIINV02,AWAITING_REQUESTER,"Promised back on 2026-08-26, which is 12 days ago, beyond the 7-day grace period."
EXC-000284,OVERDUE_REPAIR,000000000080000263,3000,PO 4500008801/00010,2026-09-07,VZIINV01,AWAITING_REQUESTER,"Promised back on 2026-06-12, which is 87 days ago, beyond the 7-day grace period."
EXC-000285,MISSING_ATTESTATION,000000000080000264,4000,PO 4500008802/00010,2026-08-28,VZIINV02,CLOSED,Repair purchase order raised with no condition-to-repair attestation.
